Script started on Wed 25 Apr 2018 04:17:48 PM EDT
]0;nabacke@U16: ~/cs2011/CS2011_CacheLab[01;32mnabacke@U16[00m:[01;34m~/cs2011/CS2011_CacheLab[00m$ ./csim-ref -v -s 2 -E 2 -b 3 -t traces/trans.tr
race
S 600aa0,1 miss 
S 7ff000398,8 miss 
S 7ff000390,8 miss 
S 7ff000378,8 miss 
S 7ff000370,8 miss 
S 7ff000384,4 miss 
L 7ff000384,4 hit 
S 7ff000388,4 miss 
L 7ff000388,4 hit 
L 7ff000384,4 hit 
L 7ff000378,8 hit 
L 7ff000388,4 hit 
L 600a20,4 miss eviction 
S 7ff00038c,4 hit 
L 7ff000388,4 hit 
L 7ff000370,8 hit 
L 7ff000384,4 hit 
L 7ff00038c,4 hit 
S 600a60,4 miss eviction 
M 7ff000388,4 hit hit 
L 7ff000388,4 hit 
L 7ff000384,4 hit 
L 7ff000378,8 hit 
L 7ff000388,4 hit 
L 600a24,4 miss eviction 
S 7ff00038c,4 hit 
L 7ff000388,4 hit 
L 7ff000370,8 hit 
L 7ff000384,4 hit 
L 7ff00038c,4 hit 
S 600a70,4 miss eviction 
M 7ff000388,4 hit hit 
L 7ff000388,4 hit 
L 7ff000384,4 hit 
L 7ff000378,8 hit 
L 7ff000388,4 hit 
L 600a28,4 miss 
S 7ff00038c,4 hit 
L 7ff000388,4 hit 
L 7ff000370,8 hit 
L 7ff000384,4 hit 
L 7ff00038c,4 hit 
S 600a80,4 miss eviction 
M 7ff000388,4 hit hit 
L 7ff000388,4 hit 
L 7ff000384,4 hit 
L 7ff000378,8 hit 
L 7ff000388,4 hit 
L 600a2c,4 hit 
S 7ff00038c,4 hit 
L 7ff000388,4 hit 
L 7ff000370,8 hit 
L 7ff000384,4 hit 
L 7ff00038c,4 hit 
S 600a90,4 miss eviction 
M 7ff000388,4 hit hit 
L 7ff000388,4 hit 
M 7ff000384,4 hit hit 
L 7ff000384,4 hit 
S 7ff000388,4 hit 
L 7ff000388,4 hit 
L 7ff000384,4 hit 
L 7ff000378,8 hit 
L 7ff000388,4 hit 
L 600a30,4 miss eviction 
S 7ff00038c,4 hit 
L 7ff000388,4 hit 
L 7ff000370,8 miss eviction **********
L 7ff000384,4 hit 
L 7ff00038c,4 hit 
S 600a64,4 miss eviction 
M 7ff000388,4 hit hit 
L 7ff000388,4 hit 
L 7ff000384,4 hit 
L 7ff000378,8 hit 
L 7ff000388,4 hit 
L 600a34,4 hit 
S 7ff00038c,4 hit 
L 7ff000388,4 hit 
L 7ff000370,8 hit 
L 7ff000384,4 hit 
L 7ff00038c,4 hit 
S 600a74,4 miss eviction 
M 7ff000388,4 hit hit 
L 7ff000388,4 hit 
L 7ff000384,4 hit 
L 7ff000378,8 hit 
L 7ff000388,4 hit 
L 600a38,4 miss eviction 
S 7ff00038c,4 hit 
L 7ff000388,4 hit 
L 7ff000370,8 hit 
L 7ff000384,4 hit 
L 7ff00038c,4 hit 
S 600a84,4 miss eviction 
M 7ff000388,4 hit hit 
L 7ff000388,4 hit 
L 7ff000384,4 hit 
L 7ff000378,8 hit 
L 7ff000388,4 hit 
L 600a3c,4 hit 
S 7ff00038c,4 hit 
L 7ff000388,4 hit 
L 7ff000370,8 hit 
L 7ff000384,4 hit 
L 7ff00038c,4 hit 
S 600a94,4 miss eviction 
M 7ff000388,4 hit hit 
L 7ff000388,4 hit 
M 7ff000384,4 hit hit 
L 7ff000384,4 hit 
S 7ff000388,4 hit 
L 7ff000388,4 hit 
L 7ff000384,4 hit 
L 7ff000378,8 hit 
L 7ff000388,4 hit 
L 600a40,4 miss eviction 
S 7ff00038c,4 hit 
L 7ff000388,4 hit 
L 7ff000370,8 hit 
L 7ff000384,4 hit 
L 7ff00038c,4 hit 
S 600a68,4 miss eviction 
M 7ff000388,4 hit hit *********************
L 7ff000388,4 hit 
L 7ff000384,4 hit 
L 7ff000378,8 hit 
L 7ff000388,4 hit 
L 600a44,4 hit 
S 7ff00038c,4 hit 
L 7ff000388,4 hit 
L 7ff000370,8 hit 
L 7ff000384,4 hit 
L 7ff00038c,4 hit 
S 600a78,4 miss eviction 
M 7ff000388,4 hit hit 
L 7ff000388,4 hit 
L 7ff000384,4 hit 
L 7ff000378,8 hit 
L 7ff000388,4 hit 
L 600a48,4 miss eviction 
S 7ff00038c,4 hit 
L 7ff000388,4 hit 
L 7ff000370,8 hit 
L 7ff000384,4 hit 
L 7ff00038c,4 hit 
S 600a88,4 miss eviction 
M 7ff000388,4 hit hit 
L 7ff000388,4 hit 
L 7ff000384,4 hit 
L 7ff000378,8 hit 
L 7ff000388,4 hit 
L 600a4c,4 miss eviction 
S 7ff00038c,4 hit 
L 7ff000388,4 hit 
L 7ff000370,8 hit 
L 7ff000384,4 hit 
L 7ff00038c,4 hit 
